ResId,ChapterId,BookId,Link,Valid,JWLINK
265121,162586,31048,563690302,yes,
205617,122853,26902,511472305,yes,
202952,121922,25527,508398836,yes,
258544,158360,26900,557463696,yes,
299421,172930,31815,589184072,yes,
272667,165985,27181,569260302,yes,https://content.jwplatform.com/videos/tMbRnfJC-9YBrBxKD.m4a
340160,199992,32067,630036333,yes,
228387,131239,28838,538013903,yes,
273215,166485,30152,569791366,yes,
201738,121783,25529,511158497,yes,
261735,160784,27181,560303301,yes,
200954,121398,26342,505114121,yes,
202043,121850,24845,506441415,yes,https://content.jwplatform.com/videos/EZ0LyKX6-9YBrBxKD.m4a
211842,125009,26339,518043506,yes,
202537,121842,26340,507507907,yes,
204376,122591,26740,509851724,yes,
161034,99586,24846,475806325,yes,
268828,163204,28837,565917707,yes,
223772,131122,27639,533840982,yes,
216108,126519,26740,526513995,yes,
207911,123291,26900,516249465,yes,
345178,203518,30153,635036073,yes,
273274,167702,27185,570153125,yes,
240918,141204,27182,544917319,yes,
373604,213466,32665,647243249,yes,
219674,127471,26922,528231591,yes,
277393,169915,31300,574937164,yes,
262639,161399,28833,561686335,yes,
383514,216715,33470,651052623,yes,
218328,127728,27942,529336697,yes,
208455,122836,26339,513830016,yes,
257622,158161,27181,556511814,yes,
201944,120415,25526,506456077,yes,
218336,127728,27942,529339066,yes,
276526,169575,29599,573357836,yes,
283653,166485,30152,579798319,yes,
266050,162268,30156,564663301,yes,https://content.jwplatform.com/videos/wxTmpwSv-9YBrBxKD.m4a
209584,123802,26900,515238892,yes,
229033,135340,26337,537987338,yes,
190875,115119,25526,499164128,yes,
188452,114192,24846,496770885,yes,
344304,202951,31722,617880819,yes,
239918,140238,28834,543945228,yes,
252749,153643,30151,552356703,yes,
269034,163017,28834,566077571,yes,
276723,169575,29599,573990742,yes,
280713,170921,31726,577531168,yes,
366462,210165,31814,643774528,yes,
255488,156974,28837,554567957,yes,https://content.jwplatform.com/videos/XI7Qog89-9YBrBxKD.m4a
351964,203889,32665,637507047,yes,
315174,188364,32269,597677313,yes,
231545,136656,28833,539509067,yes,
384380,215613,34137,651570109,yes,
222862,130417,28837,533829677,yes,
302084,180609,32274,591474099,yes,
184698,111960,25532,494773838,yes,
258572,158580,28838,557482155,yes,
354362,199412,32667,638519105,yes,
350608,199412,32667,637336191,yes,
116653,64482,22363,496027346,yes,
368692,211585,33499,645218275,yes,
205786,122849,26900,511878550,yes,
193689,116973,25530,502160486,yes,
171366,102986,25530,487116021,yes,
241331,145753,29599,544994326,yes,
354743,206007,32884,638620213,yes,
301051,178936,32275,591507967,yes,
255081,153647,30154,553190108,yes,
218320,127728,27942,529336313,yes,
218043,127591,26339,525988971,yes,
